EPotencial:	ECinetica:	ETotal:
-0.054755,	0.027566,	-0.027189
-0.054977,	0.027678,	-0.027299
-0.055200,	0.027790,	-0.027410
-0.055422,	0.027902,	-0.027520
-0.055645,	0.028014,	-0.027631
-0.055868,	0.028126,	-0.027741
-0.056090,	0.028238,	-0.027852
-0.056313,	0.028350,	-0.027962
-0.056535,	0.028462,	-0.028073
-0.056758,	0.028574,	-0.028183
-0.056981,	0.028687,	-0.028294
-0.057203,	0.028799,	-0.028404
-0.057426,	0.028911,	-0.028515
-0.057648,	0.029023,	-0.028626
-0.057871,	0.029135,	-0.028736
-0.058093,	0.029247,	-0.028847
-0.058316,	0.029359,	-0.028957
-0.058539,	0.029471,	-0.029068
-0.058761,	0.029583,	-0.029178
-0.058984,	0.029695,	-0.029289
-0.059206,	0.029807,	-0.029399
-0.059429,	0.029919,	-0.029510
-0.059652,	0.030031,	-0.029620
-0.059874,	0.030143,	-0.029731
-0.060097,	0.030255,	-0.029841
-0.060319,	0.030367,	-0.029952
-0.060542,	0.030480,	-0.030062
-0.060764,	0.030592,	-0.030173
-0.060987,	0.030704,	-0.030283
-0.061210,	0.030816,	-0.030394
-0.061432,	0.030928,	-0.030504
-0.061655,	0.031040,	-0.030615
-0.061877,	0.031152,	-0.030725
-0.062100,	0.031264,	-0.030836
-0.062323,	0.031376,	-0.030947
-0.062545,	0.031488,	-0.031057
-0.062768,	0.031600,	-0.031168
-0.062990,	0.031712,	-0.031278
-0.063213,	0.031824,	-0.031389
-0.063435,	0.031936,	-0.031499
-0.063658,	0.032048,	-0.031610
-0.063881,	0.032160,	-0.031720
-0.064103,	0.032272,	-0.031831
-0.064326,	0.032385,	-0.031941
-0.064548,	0.032497,	-0.032052
-0.064771,	0.032609,	-0.032162
-0.064994,	0.032721,	-0.032273
-0.065216,	0.032833,	-0.032383
-0.065439,	0.032945,	-0.032494
-0.065661,	0.033057,	-0.032604
-0.065884,	0.033169,	-0.032715
-0.066106,	0.033281,	-0.032825
-0.066329,	0.033393,	-0.032936
-0.066552,	0.033505,	-0.033046
-0.066774,	0.033617,	-0.033157
-0.066997,	0.033729,	-0.033268
-0.067219,	0.033841,	-0.033378
